Title,URL,Description,Keywords
Privacy Notice,https://www.voanews.com/p/5338.html,"Privacy notice for English website, Voice of America ","Voice of America, VOA, privacy notice "
"3 people attacked by sharks in Florida, Texas ",https://www.voanews.com/a/people-attacked-by-sharks-in-florida-texas-/7686981.html,"There have been 28 reported shark attacks in the U.S. so far this year, according to the website Tracking Sharks","USA, Florida, shark attack, Texas"
Audit: Georgia SOS should act to ensure it meets federal reporting requirements,https://www.thecentersquare.com/georgia/article_5869286e-3b12-11ef-b702-4741263f5004.html,(The Center Square) — Georgia's Secretary of State's office should take additional action to ensure it meets federal reporting and inventory requirements tied to federal election grants.,"georgia, accountability"
"Hurricane Beryl destroys homes, uproots trees in Grenada",https://www.voanews.com/a/hurricane-beryl-destroys-homes-uproots-trees-in-grenada/7686952.html,"Islands of Carriacou, Petite Martinique hit hard by powerful storm ","USA, Science & Health, Americas, Climate Change, Grenada, hurricane Beryl, hurrricane, Carriacou, Petite Martinique"
"Citing Supreme Court immunity ruling, Trump's lawyers seek to freeze classified documents case ",https://www.voanews.com/a/citing-supreme-court-immunity-ruling-trump-s-lawyers-seek-to-freeze-the-classified-documents-case-/7686980.html,They also say special counsel in case was illegally appointed by Justice Department,"USA, Donald Trump, classified documents"
Illinois quick hits: Mayor pushing back on property tax hikes; electric van fires being investigated,https://www.thecentersquare.com/illinois/article_8d292b06-3b14-11ef-9dff-abdb9a5e85ec.html,Mayor pushing back on property tax hikes,"illinois, energy, inflation"
Illinois Corn Growers join petition to SCOTUS over California emissions mandate,https://www.thecentersquare.com/illinois/article_9f12b2de-3b13-11ef-b79f-0f0c331eb55e.html,"(The Center Square) – A coalition of energy, biofuel and agriculture groups, – including the Illinois Corn Growers Association – are taking their challenge of the U.S. Environmental Protection Agency’s","illinois, energy, california"
Pennsylvania presidential ad spending may break records,https://www.thecentersquare.com/pennsylvania/article_311556a8-3aee-11ef-a10e-b7b3c045ea0d.html,"(The Center Square) — Political advertising in Pennsylvania for the 2024 presidential election is predicted to reach $360 million, the highest level in the nation.","pennsylvania, elections"
"Taiwan reports Chinese military aircraft, ships operating around island ",https://www.voanews.com/a/taiwan-reports-chinese-military-aircraft-ships-operating-around-island-/7686994.html,Military presence comes days after crew of Taiwanese fishing boat was detained after the vessel was seized by the Chinese coast guard,"East Asia, S. China Sea, China News, China, Taiwan, Taiwan Defense Ministry"
"'I am staying in the race,' Biden vows during Wisconsin rally",https://www.voanews.com/a/biden-staying-in-the-race-as-he-fights-to-save-candidacy-/7687003.html,breUS president calls his debacle of a debate with Trump 'a bad night' ,"USA, President Joe Biden"
US refutes Russia's denial of violating North Korea sanctions ,https://www.voanews.com/a/us-refutes-russia-s-denial-of-violating-north-korea-sanctions-/7687014.html,United States demands that Moscow stop illegal arms transfers from Pyongyang ,"USA, East Asia, Europe, russia, North Korea"
"Reformist Candidate Pezeshkian Widens Lead In Iran’s Presidential Runoff Election
",https://www.rferl.org/a/iran-presidential-runoff-pezeshkian-jalili-raisi/33023683.html,"Reformist candidate Masud Pezeshkian has widened his lead in Iran’s July 5 runoff presidential election against ultraconservative former nuclear negotiator Saeed Jalili, the Interior Ministry said in the early hours of July 6.","News, Iran"
